case,region,window_index,window_radius_mm,fine_mean_vm_mpa,coarse_mean_vm_mpa,mean_vm_change_pct,sampled_volume_change_pct
wide_rounded,unweighted_rim,1,5.0,4.274531570753759,4.281879433032472,-0.17160367062249993,12.41150878637951
wide_rounded,unweighted_rim,2,5.0,4.069066741341705,4.048323517766192,0.5123904619895425,5.557356816526693
wide_rounded,unweighted_rim,3,5.0,4.057060951371441,4.197328211119057,-3.3418225283416425,10.631531815466587
wide_rounded,unweighted_rim,4,5.0,4.054686019026871,4.282550850350525,-5.32077351294038,19.013705120235723
wide_rounded,unweighted_rim,1,10.0,3.8745796329629068,3.8995878741868184,-0.6413047232363356,-4.334535574049802
wide_rounded,unweighted_rim,2,10.0,3.9381393932384006,4.095086131409836,-3.8325625673080177,-5.122597508514504
wide_rounded,unweighted_rim,3,10.0,3.996947189053531,3.95214600351078,1.1335913577826595,-1.9038021541959327
wide_rounded,unweighted_rim,4,10.0,3.8903377564442656,3.8996348216314645,-0.23840861035571148,-0.38807518382779627
wide_rounded,midarc_rim,1,5.0,5.669985645934145,5.634280275126739,0.6337166250857562,74.0604035091038
wide_rounded,midarc_rim,2,5.0,5.590676636759236,5.634189934466793,-0.7723079664277432,78.9537068714264
wide_rounded,midarc_rim,3,5.0,5.590769956816842,5.634389486939617,-0.7741660427253882,78.95546464078163
wide_rounded,midarc_rim,4,5.0,5.688480675204453,5.634345787422006,0.9608016587000501,50.37263876314988
wide_rounded,midarc_rim,1,10.0,5.612735454268692,5.603353154068399,0.16744081521045118,0.05267493793106315
wide_rounded,midarc_rim,2,10.0,5.5900677164948975,5.603273347659028,-0.23567708274749855,1.0844745815358214
wide_rounded,midarc_rim,3,10.0,5.590161900902934,5.603425704323119,-0.23670882992080644,1.085100465459643
wide_rounded,midarc_rim,4,10.0,5.605160302850644,5.603403013370227,0.0313611117427115,-2.989864137106779
