case,mesh,region,window_index,window_radius_mm,center_x_mm,center_y_mm,sampled_volume_mm3,sample_count,mean_vm_mpa,vm_of_mean_tensor_mpa
baseline_rounded,0.018,midarc_rim,3,5.0,-164.40232662587232,-164.4023266258723,1523.139953339472,6,5.686360730324714,5.685610303085831
baseline_rounded,0.018,midarc_rim,4,5.0,164.40232662587226,-164.40232662587232,1580.337617771939,6,5.915502774183166,5.914808100622249
baseline_rounded,0.018,midarc_rim,1,10.0,164.4023266258723,164.4023266258723,5191.3790252987465,24,6.066954806812557,6.064252310479962
baseline_rounded,0.018,midarc_rim,2,10.0,-164.4023266258723,164.4023266258723,6037.734333730851,29,6.013732112170498,6.01062246552996
baseline_rounded,0.018,midarc_rim,3,10.0,-164.40232662587232,-164.4023266258723,5168.838881692217,24,6.051369401832814,6.048721978643584
baseline_rounded,0.018,midarc_rim,4,10.0,164.40232662587226,-164.40232662587232,6275.727094293134,31,5.998524882561444,5.995238069873413
medium_rounded,0.013,weighted_hub,1,5.0,-25.98076211353316,-15.0,1084.874289127903,2440,29.272331825906544,28.051700569454173
medium_rounded,0.013,weighted_hub,2,5.0,-25.98076211353316,15.0,1066.094384577734,2576,29.25309273110628,28.052929340651513
medium_rounded,0.013,weighted_hub,3,5.0,25.98076211353316,-15.0,1070.3299117167765,2519,29.169221378187554,27.942979595859153
medium_rounded,0.013,weighted_hub,4,5.0,25.98076211353316,15.0,1089.2548019766657,2869,29.402909167763568,28.141924076120947
medium_rounded,0.013,weighted_hub,1,10.0,-25.98076211353316,-15.0,4093.8916673413037,7697,25.475687623668655,24.425780278080072
medium_rounded,0.013,weighted_hub,2,10.0,-25.98076211353316,15.0,4037.507941497309,8006,25.405123221753385,24.34141649048989
medium_rounded,0.013,weighted_hub,3,10.0,25.98076211353316,-15.0,4068.196868611863,8910,25.421702521352724,24.35998735319489
medium_rounded,0.013,weighted_hub,4,10.0,25.98076211353316,15.0,4030.312205619837,9313,25.399244862293855,24.315180154606786
medium_rounded,0.013,inner_insert_boss,1,5.0,-152.30303992915273,-15.0,1203.4340210233668,201,25.515119325458844,24.36804811383753
medium_rounded,0.013,inner_insert_boss,2,5.0,-152.30303992915273,15.0,1128.100178064207,182,25.828503462318764,24.692076267835855
medium_rounded,0.013,inner_insert_boss,3,5.0,152.30303992915273,-15.0,1195.9954004990136,175,26.084961064935207,25.023211140234718
medium_rounded,0.013,inner_insert_boss,4,5.0,152.30303992915273,15.0,1172.0889070993796,178,25.512019513322237,24.385135973995286
medium_rounded,0.013,inner_insert_boss,1,10.0,-152.30303992915273,-15.0,4279.106522517339,654,22.394758221538797,21.303067578297988
medium_rounded,0.013,inner_insert_boss,2,10.0,-152.30303992915273,15.0,4304.898011752651,671,22.507644168474666,21.41384063044271
medium_rounded,0.013,inner_insert_boss,3,10.0,152.30303992915273,-15.0,4264.148381956523,595,22.262341546986633,21.17457754630515
medium_rounded,0.013,inner_insert_boss,4,10.0,152.30303992915273,15.0,4367.49947596132,600,22.436065753139662,21.36680927218952
medium_rounded,0.013,unweighted_hub,1,5.0,-15.0,-25.98076211353316,1087.1149974985528,2684,6.524444335789213,6.315629663107554
medium_rounded,0.013,unweighted_hub,2,5.0,-15.0,25.98076211353316,1089.1313369397883,2631,6.504368880438918,6.289195273662909
medium_rounded,0.013,unweighted_hub,3,5.0,15.0,-25.98076211353316,1081.5004486296687,2695,6.48040209095056,6.2726633825369404
medium_rounded,0.013,unweighted_hub,4,5.0,15.0,25.98076211353316,1073.2576612063467,2687,6.481796794904188,6.280556542878608
medium_rounded,0.013,unweighted_hub,1,10.0,-15.0,-25.98076211353316,4041.5744679329755,8381,7.928421698935033,7.4480990648258665
